canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-30;1899.0;10.0;1.0;48.3
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-30;3687.0;38.0;4.0;60.47
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-30;1080.0;7.0;3.0;32.62
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-30;1059.0;3.0;1.0;13.96
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-30;768.0;5.0;0.0;16.77
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-29;870.0;8.0;0.0;24.34
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-29;1645.0;12.0;1.0;29.81
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-29;1624.0;10.0;0.0;40.86
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-29;1295.0;10.0;1.0;17.58
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-29;1080.0;5.0;0.0;23.91
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-28;1049.0;7.0;2.0;30.83
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-28;2188.0;18.0;3.0;35.47
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-28;2136.0;11.0;2.0;43.31
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-28;1171.0;13.0;4.0;19.25
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-28;1067.0;8.0;0.0;24.03
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-27;944.0;11.0;1.0;29.49
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-27;1994.0;16.0;3.0;34.15
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-27;2175.0;10.0;3.0;44.57
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-27;1745.0;3.0;1.0;22.43
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-27;1005.0;12.0;2.0;20.86
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-26;1191.0;7.0;2.0;29.26
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-26;2477.0;15.0;4.0;35.64
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-26;2552.0;11.0;2.0;44.6
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-26;1961.0;4.0;2.0;25.76
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-26;916.0;4.0;3.0;18.94
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-25;1005.0;6.0;0.0;30.0
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-25;2441.0;21.0;4.0;35.06
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-25;2247.0;12.0;2.0;45.99
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-25;2249.0;7.0;2.0;29.12
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-25;695.0;7.0;2.0;15.98
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-24;1231.0;7.0;0.0;31.08
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-24;2138.0;19.0;5.0;31.8
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-24;1791.0;17.0;3.0;44.86
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-24;1859.0;12.0;1.0;28.46
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-24;1052.0;8.0;0.0;17.46
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-23;1757.0;10.0;2.0;27.74
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-23;1625.0;15.0;3.0;43.06
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-23;1658.0;15.0;4.0;22.77
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-23;894.0;8.0;0.0;19.64
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-22;1360.0;3.0;1.0;23.08
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-22;1282.0;9.0;2.0;22.55
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-22;1176.0;12.0;1.0;35.31
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-22;699.0;1.0;1.0;13.84
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-22;1141.0;7.0;0.0;28.27
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-21;2382.0;8.0;3.0;52.75
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-21;1511.0;14.0;2.0;24.4
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-21;1242.0;15.0;1.0;39.2
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-21;730.0;5.0;2.0;14.5
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-21;1358.0;5.0;0.0;28.86
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-20;2441.0;10.0;2.0;51.78
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-20;1471.0;14.0;5.0;24.02
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-20;1272.0;17.0;3.0;38.97
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-20;945.0;1.0;1.0;19.42
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-20;1447.0;8.0;1.0;23.97
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-19;2494.0;12.0;5.0;53.57
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-19;1264.0;14.0;4.0;24.62
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-19;1756.0;13.0;1.0;39.78
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-19;613.0;2.0;1.0;10.86
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-19;674.0;3.0;0.0;15.52
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-18;2782.0;22.0;6.0;52.71
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-18;1342.0;14.0;0.0;25.5
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-18;1853.0;20.0;5.0;40.33
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-18;1641.0;10.0;1.0;21.6
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-18;1000.0;5.0;0.0;18.27
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-17;1931.0;18.0;3.0;38.18
facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;2024-06-17;815.0;3.0;1.0;17.01
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-17;1517.0;20.0;4.0;26.15
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-17;2099.0;22.0;2.0;42.22
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-17;2151.0;10.0;0.0;22.32
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-17;933.0;5.0;3.0;19.1
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-16;1811.0;15.0;2.0;27.69
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-16;1881.0;17.0;2.0;44.19
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-16;2663.0;13.0;3.0;28.4
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-16;690.0;9.0;2.0;14.94
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-15;1464.0;13.0;0.0;22.83
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-15;2155.0;9.0;2.0;36.79
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-15;1582.0;18.0;4.0;21.94
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-15;516.0;9.0;2.0;14.78
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-14;1370.0;16.0;6.0;24.15
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-14;1717.0;20.0;1.0;37.85
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-14;1404.0;11.0;0.0;17.73
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-14;448.0;1.0;0.0;6.94
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-14;592.0;4.0;0.0;13.81
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-13;504.0;4.0;2.0;10.65
facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;2024-06-13;399.0;1.0;0.0;6.65
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-13;1411.0;8.0;1.0;23.21
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-13;1808.0;9.0;3.0;38.61
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-13;964.0;6.0;3.0;16.91
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-13;721.0;5.0;0.0;9.22
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-13;758.0;1.0;0.0;11.53
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-12;169.0;2.0;0.0;5.59
facebook;atr_leads | Hyundai Day;LAL Compradores 1%;2024-06-12;634.0;7.0;1.0;13.09
facebook;atr_leads | Hyundai Day;LAL Volvo + Interesses Hyundai;2024-06-12;1017.0;2.0;1.0;19.13
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-12;1528.0;11.0;2.0;24.68
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-12;2211.0;12.0;4.0;46.43
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-12;1328.0;5.0;1.0;17.71
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-12;672.0;2.0;0.0;9.28
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-12;719.0;7.0;3.0;16.16
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-11;923.0;6.0;1.0;25.87
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-11;1528.0;10.0;3.0;26.17
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-11;2102.0;18.0;4.0;52.67
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-11;1443.0;17.0;4.0;23.03
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-11;905.0;3.0;3.0;13.15
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-11;600.0;9.0;1.0;14.41
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-10;932.0;15.0;3.0;26.8
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-10;1661.0;14.0;1.0;26.88
facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;2024-06-10;538.0;5.0;1.0;14.18
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-10;1358.0;11.0;2.0;37.42
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-10;1488.0;10.0;2.0;24.27
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-10;848.0;1.0;0.0;11.53
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-10;683.0;4.0;0.0;17.05
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-09;1135.0;7.0;0.0;26.97
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-09;1690.0;14.0;4.0;27.07
facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;2024-06-09;866.0;5.0;0.0;17.48
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-09;1301.0;10.0;5.0;36.17
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-09;2287.0;9.0;3.0;31.82
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-09;727.0;4.0;0.0;10.75
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-09;714.0;3.0;0.0;11.09
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-08;903.0;10.0;3.0;23.55
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-08;1290.0;6.0;1.0;24.81
facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;2024-06-08;1604.0;6.0;1.0;35.38
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-08;677.0;2.0;0.0;22.54
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-08;2271.0;6.0;1.0;35.49
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-08;602.0;1.0;1.0;11.16
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-08;855.0;6.0;0.0;15.26
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-07;898.0;8.0;2.0;23.55
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-07;1235.0;9.0;2.0;25.71
facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;2024-06-07;955.0;6.0;0.0;27.95
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-07;1049.0;11.0;0.0;32.43
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-07;2064.0;4.0;2.0;37.79
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-07;611.0;2.0;2.0;12.27
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-07;591.0;3.0;0.0;12.94
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-06;1004.0;7.0;1.0;24.56
facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;2024-06-06;1035.0;8.0;0.0;21.13
facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;2024-06-06;818.0;12.0;2.0;16.42
facebook;atr_leads | promo - creta [CBO] 2;RMKT;2024-06-06;339.0;1.0;0.0;7.74
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;2024-06-06;1390.0;8.0;2.0;12.3
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;2024-06-06;450.0;2.0;0.0;5.01
facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;2024-06-06;462.0;2.0;0.0;4.68
facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;2024-06-05;1139.0;11.0;1.0;29.86
facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;2024-06-05;792.0;6.0;0.0;11.79
